brand2,raw_model,model2,candidate_powertrain,review_status,evidence,reviewer,reviewed_at,notes
AVATR,AVATR 07 MAX,AVATR 07,BEV,approved,Autoinfo: AVATR 07 Thailand launch https://www.autoinfo.co.th/avatr-07-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
AVATR,AVATR 07 ULTRA AWD,AVATR 07,BEV,approved,Autoinfo: AVATR 07 Thailand launch https://www.autoinfo.co.th/avatr-07-thailand/,claude-code,7/22/2026,seeded high-confidence BEV approval
AVATR,AVATR 11 LONG RANGE,AVATR 11,BEV,approved,Official AVATR Thailand brochure: Avatr 11 https://www.avatr.co.th/cd23266c-7032-4c10-b746-ff8b4822ad27/E-leaflet_EN_website.pdf,claude-code,7/22/2026,seeded high-confidence BEV approval
AVATR,AVATR 11 ROYAL EDITION,AVATR 11,BEV,approved,Official AVATR Thailand brochure: Avatr 11 https://www.avatr.co.th/cd23266c-7032-4c10-b746-ff8b4822ad27/E-leaflet_EN_website.pdf,claude-code,7/22/2026,seeded high-confidence BEV approval
AVATR,AVATR 11 STANDARD RANGE,AVATR 11,BEV,approved,Official AVATR Thailand brochure: Avatr 11 https://www.avatr.co.th/cd23266c-7032-4c10-b746-ff8b4822ad27/E-leaflet_EN_website.pdf,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,ATTO 3 (480KM-ER),BYD ATTO 3,BEV,approved,HeadlightMag: BYD ATTO 3 launch https://www.headlightmag.com/2022-10-10-official-price-byd-atto-3-extended-range-1/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO 1 PREMIUM,BYD ATTO 1,BEV,approved,Official BYD brochure: Atto 1 https://www.byd.com/material/byd-site/np/atto1/atto1.pdf,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO 2 DYNAMIC,BYD ATTO 2,BEV,approved,PaulTan: BYD Atto 2 review https://paultan.org/2025/08/29/byd-atto-2-review/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO 2 PREMIUM,BYD ATTO 2,BEV,approved,PaulTan: BYD Atto 2 review https://paultan.org/2025/08/29/byd-atto-2-review/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO 3 (410KM),BYD ATTO 3,BEV,approved,HeadlightMag: BYD ATTO 3 launch https://www.headlightmag.com/2022-10-10-official-price-byd-atto-3-extended-range-1/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO3 (410KM-DYNAMIC),BYD ATTO 3,BEV,approved,HeadlightMag: BYD ATTO 3 launch https://www.headlightmag.com/2022-10-10-official-price-byd-atto-3-extended-range-1/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO3 (410KM-PREMIUM),BYD ATTO 3,BEV,approved,HeadlightMag: BYD ATTO 3 launch https://www.headlightmag.com/2022-10-10-official-price-byd-atto-3-extended-range-1/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD ATTO3 (480KM-EXT),BYD ATTO 3,BEV,approved,HeadlightMag: BYD ATTO 3 launch https://www.headlightmag.com/2022-10-10-official-price-byd-atto-3-extended-range-1/,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD DOLPHIN (435KM-STD),BYD DOLPHIN,BEV,approved,Official BYD EU: BYD Dolphin https://www.byd.com/eu/electric-cars/dolphin.html,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD DOLPHIN (490KM-EXT),BYD DOLPHIN,BEV,approved,Official BYD EU: BYD Dolphin https://www.byd.com/eu/electric-cars/dolphin.html,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD DOLPHIN EXD,BYD DOLPHIN,BEV,approved,Official BYD EU: BYD Dolphin https://www.byd.com/eu/electric-cars/dolphin.html,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD DOLPHIN STD,BYD DOLPHIN,BEV,approved,Official BYD EU: BYD Dolphin https://www.byd.com/eu/electric-cars/dolphin.html,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD SEAL EXD AWD,BYD SEAL,BEV,approved,ReverAutomotive: BYD Seal spec https://www.reverautomotive.com/en/model/seal/tech-spec,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD SEAL EXD RWD,BYD SEAL,BEV,approved,ReverAutomotive: BYD Seal spec https://www.reverautomotive.com/en/model/seal/tech-spec,claude-code,7/22/2026,seeded high-confidence BEV approval
BYD,BYD SEAL STD RWD,BYD SEAL,BEV,approved,ReverAutomotive: BYD Seal spec https://www.reverautomotive.com/en/model/seal/tech-spec,claude-code,7/22/2026,seeded high-confidence BEV approval
